"9906","33801","宁波泉诚进出口有限公司","食品销售经营者","王蕾","37","2018-01-16","浙江省宁波保税东区0109-5地块1幢-1","2018-01-16至2021-11-14","零售","餐饮，食品","宁波市市场监督管理局保税区（出口加工区）分局","2018-01-16","存续"
"9907","57162","海盐县西塘桥街道利民商店","食品销售经营者","冯珍囡","156","2016-05-04","浙江省嘉兴市海盐县西塘桥街道海塘村江家桥","2016-05-04至2021-05-03","零售","餐饮，食品","海盐县市场监督管理局","2016-05-04","存续"
"9908","913301227909479190","杭州萧山瓜沥柴禾灶饭店","餐饮服务经营者","陈帅","81","2016-10-31","浙江省杭州市萧山区瓜沥镇群谊村六组160号","2016-10-31至2021-10-30","零售","餐饮，食品","杭州市萧山区市场监督管理局","2016-10-31","存续"
"9909","20236","临海市满鑫轩饭店","餐饮服务经营者","陈强","157","2016-12-19","浙江省台州市临海市东部区块北洋工业区","2016-12-19至2021-12-18","零售","餐饮，食品","临海市市场监督管理局","2016-12-19","存续"
"9910","91330401146491033K","桐庐县富春江镇思思副食品店","食品销售经营者","吴小辉","116","2016-08-02","浙江省杭州市桐庐县富春江镇七里泷大街北段2幢104、105室","2016-08-02至2021-08-01","零售","餐饮，食品","桐庐县市场监督管理局","2016-08-02","存续"
"9911","91331121681691977A","龙游县小灵通幼儿园食堂","单位食堂","徐晓梅","123","2019-03-06","浙江省衢州市龙游县东华街道方旦村魏家自然村","2019-03-06至2024-03-05","零售","餐饮，食品","龙游县市场监督管理局","2019-03-06","存续"
"9912","91330500779374793Q","绍兴市上虞区东关街道浩飞食品店","食品销售经营者","胡立新","90","2016-06-28","浙江省绍兴市上虞区东关街道市场路28号","2016-06-28至2021-06-27","零售","餐饮，食品","绍兴市上虞区市场监督管理局","2016-06-28","存续"
"9913","91330482X09450649M","中国石化销售有限公司浙江绍兴水陆加油站","食品销售经营者","潘永升","77","2018-11-22","浙江省绍兴市越城区皋埠镇独树村104国道线旁","2018-11-22至2022-02-05","零售","餐饮，食品","绍兴市越城区市场监督管理局","2018-11-22","存续"
"9914","91330421679560919U","温州市瓯海南白象阿丹副食品店","食品销售经营者","任金国","135","2016-04-29","浙江省温州市瓯海区南白象浃社中路26号","2016-04-29至2021-04-28","零售","餐饮，食品","温州市瓯海区市场监督管理局","2016-04-29","存续"
"9915","913303827996219075","金华市婺城区金生粮油调味品经营部","食品销售经营者","江金生","132","2016-08-18","浙江省金华市婺城区城东街道兰溪门市场调味品区","2016-08-18至2021-08-17","零售","餐饮，食品","金华市市场监督管理局","2016-08-18","存续"
"9916","913303827125773693","浙江新中源建设有限公司（1）","单位食堂","项仙明","97","2016-12-20","浙江省宁波市东钱湖旅游度假区上水村（帐篷营地）","2016-12-20至2021-12-19","零售","餐饮，食品","宁波市市场监督管理局东钱湖旅游度假区分局","2016-12-20","存续"
