GMP证号	gmp
三涉情况	sqjzry
上访原因	zdsfry
上访状态	zdsfry
上访类型	zdsfry
与儿童关系	lset
与户主关系	dbry,hjrk
业主姓名	syfw
业主联系方式	syfw
业务主管单位名称	shzz
个人月补助金额	dbry
个人缴费状态	sybx
中共党员数量	shzz
中文姓名	jwry
中断日期	ldrkhyzm
主体业态	spjyxk
主要事迹	jyywry
主要产品生产情况(上年实际产量)	pfwrwxkz
主要产品生产情况(名称)	pfwrwxkz
主要产品生产情况(计量单位)	pfwrwxkz
主要产品生产情况(设计年产量)	pfwrwxkz
主要当事人姓名	sjjjl
主要当事人联系方式	sjjjl
主要职责	shzz
主要能源使用情况(名称)	pfwrwxkz
主要能源使用情况(实际年产量)	pfwrwxkz
主要能源生产情况(硫份	pfwrwxkz
主要能源生产情况(计量单位)	pfwrwxkz
事件名称	sjjjl
事件简述	sjjjl
事件类型	sjjjl
事件规模	sjjjl
事故原因	gkqysg
事故地点	gkqysg
事故日期	gkqysg
事故结案日期	gkqysg
二氧化硫和氮氧化物排放量	zdpwqyjbqk
产权人姓名	syfw
产权人类型	syfw
产权人联系方式	syfw
产生量	wxfwcsl
人口类型	dbry
人员类型	jyfxry,jytjry,zdqsn,zyryxxjs
人户一致标识	hjrk
从业人员姓名	mbjypxjgcyrr
从业人员数量	dwldbz
从业资格证书	wxpcyry
从业资格证书号码	wxpcyry
从业资格证书有效期日期	wxpcyry
仓库地址	ypjyxk
企业传真	tzhy
企业名称	aqsc,gkqysg,gmp,gsp,gszcdj,hzpscxk,qyhjxzcf,tzhy,ylqxjyxk,ylqxscxk,ypjyxk,ypscxk
企业地址	gszcdj,tzhy
企业法人代表姓名	wxpcyry
企业法人工作单位	wxpcyry
企业法人联系方式	wxpcyry
企业类别	gszcdj
企业联系方式	tzhy
企业负责人	hzpscxk,ylqxjyxk,ylqxscxk,ypjyxk,ypscxk
低保证号码	dbry
住所	hzpscxk,spjyxk,ylqxjyxk,ylqxscxk
住所地址	jdcdj
体重（千克）	cs_hswry
作出行政处罚决定的行政机关名称	xzcf
使用劳务派遣人数	dwldbz
健康状况	cs_hswry,dbry
全家月补助金额	dbry
